"business_name","telephone","business_page","business_address"
"Ariya Rice Mill","0252222722","https://rainbowpages.lk/food/food-products/ariya-rice-mill/","Anuradhapura"
"Tradlanka Agricultural Enterprises (Pvt) Ltd","0112761999, 0112761658","https://rainbowpages.lk/food/food-products/tradlanka-agricultural-enterprises-pvt-ltd/","45 St Marys Rd Mount Lavinia"
"Cubbys Restaurant","0112905275, 0775325118","https://rainbowpages.lk/food/restaurants/cubbys-restaurant/","85 Waragoda Road  Kelaniya"
"Buy 4 You Lanka (Pvt) Ltd","0112326426","https://rainbowpages.lk/baby-goods/baby-goods/buy-4-you-lanka-pvt-ltd/","155/1/5 Messenger St Colombo 12"
"Ceylon Essence and Beverage Co Ltd","0112761225, 0777552276","https://rainbowpages.lk/industrial/flavouring-fragrances/ceylon-essence-and-beverage-co-ltd/","No 15   Arthur s Place Dehiwela"
"Kineta (Pte) Ltd","0112745745","https://rainbowpages.lk/food/food-products/kineta-pte-ltd/","Sisara Towers 272 High Level Rd Maharagama"
"C D De Fonseka & Sons (Pvt) Ltd","0382232552","https://rainbowpages.lk/food/food-items/c-d-de-fonseka-and-sons-pvt-ltd/","37 Eluwila   Panadura"
"Happy Egg","0773413836","https://rainbowpages.lk/food/food-products/happy-egg/","New Beauty Place    Dummalasooriya"
"S N A Trading (Pvt) Ltd","0772396596","https://rainbowpages.lk/other/audio-visual-equipment-supplies/s-n-a-trading-pvt-ltd/","No 70/1/7A 1st Floor Y M B A Building Colombo 08"
"Western Lanka Trading (Pvt) Ltd","0112225524","https://rainbowpages.lk/food/food-items/western-lanka-trading-pvt-ltd/","126 Negombo Rd Wahatiyagoda  Pamunugama"
"Wijaya Products (Pvt) Ltd","0342280092, 0342280093","https://rainbowpages.lk/food/food-exporters/wijaya-products-pvt-ltd/","Dodangoda Kalutara"
"A B Mauri Lanka (Pvt) Ltd","0112731658, 0772952197","https://rainbowpages.lk/industrial/bakery-equipment/a-b-mauri-lanka-pvt-ltd/","No 124 Templers Rd   Mount Lavinia"
"Alpha Mixer","0212255278, 0777848192","https://rainbowpages.lk/food/food-manufacturers-and-distributors/alpha-mixer/","Bakkers Lane Udivil Rd Manipay  Jaffna"
"Ambewela Products Pvt Ltd","0759996666","https://rainbowpages.lk/food/food-products/ambewela-products-pvt-ltd/","Deepani Ihala Vitiyala Karagoda   Uyangoda"
"Anandha Bake House","0112517140, 0717059374","https://rainbowpages.lk/food/bakers-retail/anandha-bake-house/","No 20/6 Gangarama Rd Werahera  Boralesgamuwa"
